DATAFLOW,LAST UPDATE,freq,direct,tra_cov,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2019-Q4,82,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2020-Q1,32,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2020-Q2,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2020-Q3,3,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2020-Q4,3,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2021-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2021-Q2,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2021-Q3,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BE_0BEZEE,2021-Q4,1,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2017-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2017-Q2,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2017-Q3,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2017-Q4,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2018-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2018-Q2,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2018-Q3,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2018-Q4,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2019-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2019-Q2,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2019-Q3,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2019-Q4,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2020-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2020-Q2,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2020-Q3,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2020-Q4,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2021-Q1,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2021-Q2,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2021-Q3,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,BG_0BG888,2021-Q4,0,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2017-Q1,2706,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2017-Q2,5899,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2017-Q3,7833,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2017-Q4,3663,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2018-Q1,2782,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2018-Q2,5839,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2018-Q3,8039,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2018-Q4,3358,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2019-Q1,2783,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2019-Q2,6186,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2019-Q3,7514,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2019-Q4,3679,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2020-Q1,2222,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2020-Q2,1517,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2020-Q3,4904,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2020-Q4,1891,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2021-Q1,826,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2021-Q2,2206,
ESTAT:MAR_PA_QM(1.0),17/10/23 23:00:00,Q,TOTAL,TOTAL,THS,DE,2021-Q3,6258,
