,Reporting Period,CO2 sum [Mt],CO2 per ship [t]
0,2018,145.30261672999964,12512.065506759634
1,2019,147.17643662000035,12193.573870753962
2,2020,129.52122270999985,11067.352192600176
3,2021,126.67135942999995,10576.2177030976
4,2022,136.24971874000005,10615.482566419949
