,Reporting Period,Passenger ship,Container ship,Bulk carrier,LNG carrier,Oil tanker
0,2018,42427.00554838708,26129.66538550059,5362.946964902174,29315.45775119615,10508.875542699716
1,2019,39102.37083798885,24665.540236914592,5006.611880069518,31165.33509727627,10235.949490316008
2,2020,11371.630761904762,22863.798882803974,4630.747824463133,30892.226534296027,9818.77743229166
3,2021,22821.73828828829,22603.443874722827,4607.446515837105,22711.82550335571,8858.183033769074
4,2022,37118.14618279568,20789.696771910734,4690.7887575604855,27720.196066838027,8487.53027749749
