,Reporting Period,Passenger ship,Container ship,Bulk carrier,LNG carrier,Oil tanker,Other ships
0,2018,6576185.859999998,45413358.44000003,18641603.649999958,6126930.669999995,19073609.109999985,49470928.999999665
1,2019,6999324.380000004,44767955.52999999,17282824.209999975,8009491.120000002,20082932.90000001,50033908.48000035
2,2020,1194021.23,41749296.76000006,14878592.760000046,8557146.75,18852052.669999987,44290112.53999974
3,2021,2533212.95,40776612.74999998,16291930.880000005,6768124.000000002,16263624.05000002,44037854.79999993
4,2022,6903975.189999997,38190672.97000002,18613049.790000007,10783156.269999992,16822285.010000024,44936579.510000005
